option,SKU,SNSMU,SNSMU-NP,SNSMP,SNSMP-NP,SNSMR,SNSMR-NP,SNM3U,SNM3U-NP,SNM3P,SNM3P-NP,SNM3R,SNM3R-NP,SNM4U,SNM4U-NP,SNM4P,SNM4P-NP,SNM4R,SNM4R-NP,SNM5U,SNM5U-NP,SNM5P,SNM5P-NP,SNM5R,SNM5R-NP,EPSMR,EPSMR-NP,EPM4R,EPM4R-NP,SPSMR,SPSMR-NP,SPM4R,SPM4R-NP
6 m / 19.68 ft,006M,$33.45,$34.91,$15.60,$16.80,$12.47,$13.92,$22.60,$23.20,$18.60,$19.20,$13.80,$14.40,$24.40,$25.00,$20.40,$21.00,$15.02,$17.79,$37.00,$37.60,$33.00,$33.60,$28.20,$28.80,$13.67 ,$15.12 ,$16.22 ,$18.99 ,$13.27 ,$14.72 ,$15.82 ,$18.59 
6.09 m / 20 ft,020FT,$33.51,$34.98,$15.65,$16.87,$12.52,$14.00,$22.70,$23.31,$18.70,$19.31,$13.90,$14.51,$24.53,$25.14,$20.53,$21.14,$15.11,$17.92,$37.32,$37.92,$33.32,$33.92,$28.52,$29.12,$13.72 ,$15.20 ,$16.31 ,$19.12 ,$13.32 ,$14.80 ,$15.91 ,$18.72 
7 m / 22.96 ft,007M,$34.05,$35.75,$16.20,$17.60,$13.07,$14.76,$23.70,$24.40,$19.70,$20.40,$14.90,$15.60,$25.80,$26.50,$21.80,$22.50,$16.04,$19.28,$40.50,$41.20,$36.50,$37.20,$31.70,$32.40,$14.27 ,$15.96 ,$17.24 ,$20.48 ,$13.87 ,$15.56 ,$16.84 ,$20.08 
7.62 m / 25 ft,025FT,$34.42,$36.27,$16.57,$18.10,$13.44,$15.28,$24.38,$25.14,$20.38,$21.14,$15.58,$16.34,$26.67,$27.43,$22.67,$23.43,$16.68,$20.20,$42.67,$43.43,$38.67,$39.43,$33.87,$34.63,$14.64 ,$16.48 ,$17.88 ,$21.40 ,$14.24 ,$16.08 ,$17.48 ,$21.00 
8 m / 26.24 ft,008M,$34.65,$36.59,$16.80,$18.40,$13.66,$15.60,$24.80,$25.60,$20.80,$21.60,$16.00,$16.80,$27.20,$28.00,$23.20,$24.00,$17.06,$20.76,$44.00,$44.80,$40.00,$40.80,$35.20,$36.00,$14.86 ,$16.80 ,$18.26 ,$21.96 ,$14.46 ,$16.40 ,$17.86 ,$21.56 
9 m / 29.52 ft,009M,$35.25,$37.43,$17.40,$19.20,$14.26,$16.44,$25.90,$26.80,$21.90,$22.80,$17.10,$18.00,$28.60,$29.50,$24.60,$25.50,$18.09,$22.25,$47.50,$48.40,$43.50,$44.40,$38.70,$39.60,$15.46 ,$17.64 ,$19.29 ,$23.45 ,$15.06 ,$17.24 ,$18.89 ,$23.05 
9.14 m / 30 ft,030FT,$35.33,$37.54,$17.48,$19.31,$14.35,$16.56,$26.05,$26.97,$22.05,$22.97,$17.25,$18.17,$28.80,$29.71,$24.80,$25.71,$18.23,$22.45,$47.99,$48.90,$43.99,$44.90,$39.19,$40.10,$15.55 ,$17.76 ,$19.43 ,$23.65 ,$15.15 ,$17.36 ,$19.03 ,$23.25 
10 m / 32.80 ft,010M,$35.85,$38.27,$18.00,$20.00,$14.86,$17.28,$27.00,$28.00,$23.00,$24.00,$18.20,$19.20,$30.00,$31.00,$26.00,$27.00,$19.11,$23.73,$51.00,$52.00,$47.00,$48.00,$42.20,$43.20,$16.06 ,$18.48 ,$20.31 ,$24.93 ,$15.66 ,$18.08 ,$19.91 ,$24.53 
12 m / 39.37 ft,012M,$37.04,$39.95,$19.20,$21.60,$16.06,$18.96,$29.20,$30.40,$25.20,$26.40,$20.40,$21.60,$32.80,$34.00,$28.80,$30.00,$21.16,$26.70,$58.00,$59.20,$54.00,$55.20,$49.20,$50.40,$17.26 ,$20.16 ,$22.36 ,$27.90 ,$16.86 ,$19.76 ,$21.96 ,$27.50 
12.19 m / 40 ft,040FT,$37.15,$40.10,$19.31,$21.75,$16.17,$19.12,$29.41,$30.63,$25.41,$26.63,$20.61,$21.83,$33.07,$34.29,$29.07,$30.29,$21.35,$26.98,$58.67,$59.88,$54.67,$55.88,$49.87,$51.08,$17.37 ,$20.32 ,$22.55 ,$28.18 ,$16.97 ,$19.92 ,$22.15 ,$27.78 
15 m / 49.21 ft,015M,$38.84,$42.47,$21.00,$24.00,$17.85,$21.48,$32.50,$34.00,$28.50,$30.00,$23.70,$25.20,$37.00,$38.50,$33.00,$34.50,$24.23,$31.16,$68.50,$70.00,$64.50,$66.00,$59.70,$61.20,$19.05 ,$22.68 ,$25.43 ,$32.36 ,$18.65 ,$22.28 ,$25.03 ,$31.96 
15.24 m / 50 ft,050FT,$38.98,$42.67,$21.14,$24.19,$17.99,$21.68,$32.76,$34.29,$28.76,$30.29,$23.96,$25.49,$37.34,$38.86,$33.34,$34.86,$24.47,$31.51,$69.34,$70.86,$65.34,$66.86,$60.54,$62.06,$19.19 ,$22.88 ,$25.67 ,$32.71 ,$18.79 ,$22.48 ,$25.27 ,$32.31 
17 m /  55.77 ft,017M,$40.03,$44.15,$22.20,$25.60,$19.05,$23.16,$34.70,$36.40,$30.70,$32.40,$25.90,$27.60,$39.80,$41.50,$35.80,$37.50,$26.27,$34.13,$75.50,$77.20,$71.50,$73.20,$66.70,$68.40,$20.25 ,$24.36 ,$27.47 ,$35.33 ,$19.85 ,$23.96 ,$27.07 ,$34.93 
18.28 m / 60 ft,060FT,$40.80,$45.22,$22.97,$26.62,$19.81,$24.24,$36.11,$37.94,$32.11,$33.94,$27.31,$29.14,$41.59,$43.42,$37.59,$39.42,$27.58,$36.03,$79.98,$81.81,$75.98,$77.81,$71.18,$73.01,$21.01 ,$25.44 ,$28.78 ,$37.23 ,$20.61 ,$25.04 ,$28.38 ,$36.83 
