option,SKU,SMSXR,SMSXR-NP,SMSXP,SMSXP-NP,SMSXU,SMSXU-NP,SMDXR,SMDXR-NP,SMDXP,SMDXP-NP,SMDXU,SMDXU-NP,M1SXR,M1SXR-NP,M1SXP,M1SXP-NP,M1SXU,M1SXU-NP,M1DXR,M1DXR-NP,M1DXP,M1DXP-NP,M1DXU,M1DXU-NP,M3SXR,M3SXR-NP,M3SXP,M3SXP-NP,M3SXU,M3SXU-NP,M3DXR,M3DXR-NP,M3DXP,M3DXP-NP,M3DXU,M3DXU-NP,M4SXR,M4SXR-NP,M4SXP,M4SXP-NP,M4SXU,M4SXU-NP,M4DXR,M4DXR-NP,M4DXP,M4DXP-NP,M4DXU,M4DXU-NP,M5SXR,M5SXR-NP,M5SXP,M5SXP-NP,M5SXU,M5SXU-NP,M5DXR,M5DXR-NP,M5DXP,M5DXP-NP,M5DXU,M5DXU-NP
5.48 m / 18 ft,018FT,$4.79,$5.54,$7.64,$8.39,$12.18,$14.20,$8.09,$9.58,$12.49,$13.98,$23.20,$25.94,$5.89,$6.64,$9.29,$10.04,$10.29,$11.04,$10.83,$11.78,$15.23,$16.18,$19.23,$20.18,$5.89,$6.64,$9.29,$10.04,$10.29,$11.04,$8.19,$10.91,$15.23,$16.18,$19.23,$20.18,$5.55,$6.64,$9.38,$10.48,$13.00,$14.10,$10.51,$11.59,$18.19,$19.27,$25.43,$26.51,$13.01,$13.76,$16.41,$17.16,$17.41,$18.16,$23.98,$24.93,$28.38,$29.33,$32.38,$33.33
6 m / 19.68 ft,006M,$5.00,$5.80,$7.80,$8.60,$12.39,$14.61,$8.40,$10.00,$12.80,$14.40,$23.51,$26.51,$6.20,$7.00,$9.60,$10.40,$10.60,$11.40,$11.40,$12.40,$15.80,$16.80,$19.80,$20.80,$6.20,$7.00,$9.60,$10.40,$10.60,$11.40,$8.49,$11.47,$15.80,$16.80,$19.80,$20.80,$5.83,$7.04,$9.67,$10.88,$13.29,$14.50,$11.03,$12.22,$18.71,$19.89,$25.95,$27.13,$14.00,$14.80,$17.40,$18.20,$18.40,$19.20,$25.80,$26.80,$30.20,$31.20,$34.20,$35.20
6.09 m / 20 ft,020FT,$5.04,$5.85,$7.83,$8.64,$12.43,$14.67,$8.45,$10.07,$12.85,$14.47,$23.56,$26.61,$6.25,$7.06,$9.65,$10.46,$10.65,$11.46,$11.50,$12.51,$15.90,$16.91,$19.90,$20.91,$6.25,$7.06,$9.65,$10.46,$10.65,$11.46,$8.54,$11.57,$15.90,$16.91,$19.90,$20.91,$5.88,$7.10,$9.72,$10.94,$13.34,$14.56,$11.12,$12.32,$18.80,$20.00,$26.04,$27.24,$14.17,$14.98,$17.57,$18.38,$18.57,$19.38,$26.12,$27.12,$30.52,$31.52,$34.52,$35.52
7 m / 22.96 ft,007M,$5.40,$6.30,$8.10,$9.00,$12.80,$15.38,$9.00,$10.80,$13.40,$15.20,$24.11,$27.61,$6.80,$7.70,$10.20,$11.10,$11.20,$12.10,$12.50,$13.60,$16.90,$18.00,$20.90,$22.00,$6.80,$7.70,$10.20,$11.10,$11.20,$12.10,$9.07,$12.55,$16.90,$18.00,$20.90,$22.00,$6.39,$7.79,$10.23,$11.63,$13.85,$15.25,$12.04,$13.42,$19.72,$21.10,$26.96,$28.34,$15.90,$16.80,$19.30,$20.20,$20.30,$21.20,$29.30,$30.40,$33.70,$34.80,$37.70,$38.80
7.62 m / 25 ft,025FT,$5.65,$6.61,$8.29,$9.25,$13.05,$15.86,$9.37,$11.30,$13.77,$15.70,$24.48,$28.29,$7.17,$8.13,$10.57,$11.53,$11.57,$12.53,$13.18,$14.34,$17.58,$18.74,$21.58,$22.74,$7.17,$8.13,$10.57,$11.53,$11.57,$12.53,$9.43,$13.22,$17.58,$18.74,$21.58,$22.74,$6.74,$8.26,$10.58,$12.10,$14.20,$15.72,$12.66,$14.17,$20.34,$21.84,$27.58,$29.08,$17.08,$18.04,$20.48,$21.44,$21.48,$22.44,$31.47,$32.63,$35.87,$37.03,$39.87,$41.03
8 m / 26.24 ft,008M,$5.80,$6.80,$8.40,$9.40,$13.20,$16.16,$9.60,$11.60,$14.00,$16.00,$24.71,$28.71,$7.40,$8.40,$10.80,$11.80,$11.80,$12.80,$13.60,$14.80,$18.00,$19.20,$22.00,$23.20,$7.40,$8.40,$10.80,$11.80,$11.80,$12.80,$9.66,$13.63,$18.00,$19.20,$22.00,$23.20,$6.95,$8.55,$10.79,$12.39,$14.41,$16.01,$13.05,$14.62,$20.73,$22.30,$27.97,$29.54,$17.80,$18.80,$21.20,$22.20,$22.20,$23.20,$32.80,$34.00,$37.20,$38.40,$41.20,$42.40
9 m / 29.52 ft,009M,$6.20,$7.30,$8.70,$9.80,$13.61,$16.93,$10.20,$12.40,$14.60,$16.80,$25.31,$29.81,$8.00,$9.10,$11.40,$12.50,$12.40,$13.50,$14.70,$16.00,$19.10,$20.40,$23.10,$24.40,$8.00,$9.10,$11.40,$12.50,$12.40,$13.50,$10.24,$14.71,$19.10,$20.40,$23.10,$24.40,$7.50,$9.31,$11.34,$13.15,$14.96,$16.77,$14.05,$15.83,$21.73,$23.51,$28.97,$30.75,$19.70,$20.80,$23.10,$24.20,$24.10,$25.20,$36.30,$37.60,$40.70,$42.00,$44.70,$46.00
9.14 m / 30 ft,030FT,$6.26,$7.37,$8.74,$9.86,$13.67,$17.04,$10.28,$12.51,$14.68,$16.91,$25.39,$29.96,$8.08,$9.20,$11.48,$12.60,$12.48,$13.60,$14.85,$16.17,$19.25,$20.57,$23.25,$24.57,$8.08,$9.20,$11.48,$12.60,$12.48,$13.60,$10.32,$14.86,$19.25,$20.57,$23.25,$24.57,$7.58,$9.41,$11.42,$13.25,$15.04,$16.87,$14.19,$16.00,$21.87,$23.67,$29.11,$30.91,$19.97,$21.08,$23.37,$24.48,$24.37,$25.48,$36.79,$38.10,$41.19,$42.50,$45.19,$46.50
10 m / 32.80 ft,010M,$6.60,$7.80,$9.00,$10.20,$14.02,$17.71,$10.80,$13.20,$15.20,$17.60,$25.91,$30.91,$8.60,$9.80,$12.00,$13.20,$13.00,$14.20,$15.80,$17.20,$20.20,$21.60,$24.20,$25.60,$8.60,$9.80,$12.00,$13.20,$13.00,$14.20,$10.82,$15.79,$20.20,$21.60,$24.20,$25.60,$8.06,$10.06,$11.90,$13.90,$15.52,$17.52,$15.06,$17.03,$22.74,$24.71,$29.98,$31.95,$21.60,$22.80,$25.00,$26.20,$26.00,$27.20,$39.80,$41.20,$44.20,$45.60,$48.20,$49.60
12 m / 39.37 ft,012M,$7.40,$8.80,$9.60,$11.00,$14.83,$19.26,$12.00,$14.80,$16.40,$19.20,$27.11,$33.11,$9.80,$11.20,$13.20,$14.60,$14.20,$15.60,$18.00,$19.60,$22.40,$24.00,$26.40,$28.00,$9.80,$11.20,$13.20,$14.60,$14.20,$15.60,$11.99,$17.95,$22.40,$24.00,$26.40,$28.00,$9.17,$11.58,$13.01,$15.42,$16.63,$19.04,$17.08,$19.44,$24.75,$27.12,$31.99,$34.36,$25.40,$26.80,$28.80,$30.20,$29.80,$31.20,$46.80,$48.40,$51.20,$52.80,$55.20,$56.80
